doc_id,doc_group,parse_quality_tier,selection_reason,reviewer_name,review_date,structure_correct,section_hierarchy_correct,table_correct,consolidation_basis_correct,issues_found,decision,notes
exchange_20241202800060,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20241231800107,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20230405800944,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20240430800940,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20250619800586,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20250428800112,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20241219800118,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20240701800003,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20250408800489,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20241024800188,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20251103800353,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20240213800744,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20250613800452,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20231109800432,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20240611800517,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20231110800095,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20230727800097,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20251211800144,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20240417800094,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20250731800028,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
